Time (s),Speed (RPM),,Cycle,Number of Revolutions
3.5333,3574.6,,,
3.5375,3631.8,,,
3.5417,3670,,,
3.5458,3670.1,,,
3.55,3628.6,,,
3.5542,3568.8,,,
3.5583,3526.4,,,
3.5625,3529.8,,,
3.5667,3589.6,,,
3.5708,3699.3,,,
3.575,3842.5,,,
3.5792,3985.1,,,
3.5833,4088,,,
3.5875,4124.7,,,
3.5917,4088.9,,,
3.5958,3991.5,,,
3.6,3868.2,,,
3.6042,3763.6,,,
3.6083,3711.4,,,
3.6125,3724.6,,,
3.6167,3797.2,,,
3.6208,3911.9,,,
3.625,4048.4,,,
3.6292,4188.5,,,
3.6333,4319.4,,,
3.6375,4418.6,,,
3.6417,4460.5,,,
3.6458,4430.4,,,
3.65,4330.1,,,
3.6542,4175.7,,,
3.6583,4004.8,,,
3.6625,3862.5,,,
3.6667,3781.5,,,
3.6708,3773.3,,,
3.675,3830.5,,,
3.6792,3934.3,,,
3.6833,4063.2,,,
3.6875,4198.2,,,
3.6917,4325.7,,,
3.6958,4437.6,,,
3.7,4530.6,,,
3.7042,4604.5,,,
3.7083,4661.1,,,
3.7125,4703.2,,,
3.7167,4733.7,,,
3.7208,4755.2,,,
3.725,4770.2,,,
3.7292,4780.5,,,
3.7333,4787.3,,,
3.7375,4791.9,,,
3.7417,4794.8,,,
3.7458,4796.7,,,
3.75,4798,,,
3.7542,4798.7,,,
3.7583,4799.2,,,
3.7625,4799.5,,,
3.7667,4799.7,,,
3.7708,4799.8,,,
3.775,4799.9,,,
3.7792,4799.9,,,
3.7833,4800,,,
3.7875,4800,,,
3.7917,4800,,,
3.7958,4800,,,
3.8,4800,,,
3.8042,4800,,,
3.8083,4800,,,
3.8125,4800,,,
3.8167,4800,,,
3.8208,4790.6,,,
3.825,4757.8,,,
3.8292,4692.2,,,
3.8333,4593.7,,,
3.8375,4480.1,,,
3.8417,4377.5,,,
3.8458,4307.8,,,
3.85,4280.6,,,
3.8542,4293.6,,,
3.8583,4337.3,,,
3.8625,4390,,,
3.8667,4426.2,,,
3.8708,4428.1,,,
3.875,4390.2,,,
3.8792,4318.3,,,
3.8833,4224.1,,,
3.8875,4120.6,,,
3.8917,4018.7,,,
3.8958,3926.1,,,
3.9,3846.8,,,
3.9042,3782.1,,,
3.9083,3731.4,,,
3.9125,3692.9,,,
3.9167,3664.4,,,
3.9208,3644,,,
3.925,3629.6,,,
3.9292,3619.6,,,
3.9333,3612.9,,,
3.9375,3608.3,,,
3.9417,3605.3,,,
3.9458,3603.4,,,
3.95,3602.1,,,
3.9542,3601.3,,,
3.9583,3600.8,,,
3.9625,3591.1,,,
3.9667,3558.1,,,
3.9708,3492.4,,,
3.975,3393.9,,,
3.9792,3270.8,,,
3.9833,3135.4,,,
3.9875,3003.8,,,
3.9917,2891.2,,,
3.9958,2807.5,,,
4,2755.2,,,
4.0042,2731.1,,,
4.0083,2722.2,,,
4.0125,2711.3,,,
4.0167,2685.5,,,
4.0208,2639.8,,,
4.025,2576.6,,,
4.0292,2502.4,,,
4.0333,2425.1,,,
4.0375,2351,,,
4.0417,2284.9,,,
4.0458,2228.9,,,
4.05,2183.5,,,
4.0542,2148,,,
4.0583,2121.3,,,
4.0625,2101.6,,,
4.0667,2085.4,,,
4.0708,2068.4,,,
4.075,2047.5,,,
4.0792,2021.7,,,
4.0833,1992.3,,,
4.0875,1961.2,,,
4.0917,1930.9,,,
4.0958,1903.1,,,
4.1,1874.3,,,
4.1042,1837.9,,,
4.1083,1789.2,,,
4.1125,1727.7,,,
4.1167,1657,,,
4.1208,1582.6,,,
4.125,1510.1,,,
4.1292,1443.9,,,
4.1333,1386.6,,,
4.1375,1339.3,,,
4.1417,1301.6,,,
4.1458,1272.6,,,
4.15,1243.8,,,
4.1542,1203,,,
4.1583,1141.9,,,
4.1625,1059.2,,,
4.1667,960.25,,,
4.1708,853.73,,,
4.175,748.43,,,
